,DE0006202005,DE0005785802,DE000KSAG888,DE000STRA555,DE0006062144,DE000TUAG505,DE000A12DM80,DE000EVNK013,DE000LEG1110,DE0005089031,DE0006095003,DE000A161408,DE0005470405,DE000A0DJ6J9,DE000A1TNUT7,DE0006200108,DE0005232805,DE000A0WMPJ6,DE000WCH8881,DE0007165607,DE0005313704,DE0007030009,DE000A3ENQ51,DE0006766504,DE0007314007,DE000BASF111,DE000A1PHFF7,FR001400PVN6,DE0007461006,DE0005773303,DE0005158703,DE000A1TNV91,DE0006602006,DE0008232125,DE0006969603,DE0005093108,Total
2025-04-20,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.72
2025-04-19,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.72
2025-04-18,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.72
2025-04-17,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.72
2025-04-16,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.72
2025-04-15,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.69,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.72
2025-04-14,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.71,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.08,0.0,0.49,0.51,0.96,0.0,6.76
2025-04-13,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.71,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.08,0.0,0.49,0.51,1.04,0.0,6.96
2025-04-12,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.71,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.08,0.0,0.49,0.51,1.04,0.0,6.96
2025-04-11,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.71,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.08,0.0,0.49,0.51,1.04,0.0,6.96
2025-04-10,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.08,0.0,0.49,0.51,1.04,0.0,6.85
2025-04-09,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.08,0.0,0.49,0.61,1.1,0.0,7.08
2025-04-08,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.08,0.0,0.49,0.51,1.08,0.0,6.92
2025-04-07,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.52,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.08,0.0,0.49,0.51,1.08,0.0,6.9399999999999995
2025-04-06,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.08,0.0,0.49,0.41,1.08,0.0,6.65
2025-04-05,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.33,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.08,0.0,0.49,0.41,1.08,0.0,6.65
