,IT0005495657,FR0010220475,FR0000121147,FR0000130395,DE000FTG1111,DE000A161408,DE000A2YN900,DE000A0D6554,DE000A0LD6E6,DE000ZAL1111,DE000TUAG505,DE0008303504,DE0005664809,DE0007500001,DE000A1PHFF7,DE0005470405,DE0005313704,DE000A0WMPJ6,Total
2025-04-07,0.0,0.0,0.9,0.6,0.0,1.84,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.5,0.5,7.6499999999999995
2025-04-06,0.0,0.0,0.9,0.6,0.0,1.84,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.5,0.0,7.1499999999999995
2025-04-05,0.0,0.0,0.9,0.6,0.0,1.84,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.5,0.0,7.1499999999999995
2025-04-04,0.0,0.0,0.9,0.6,0.0,1.84,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.5,0.0,7.1499999999999995
2025-04-03,0.0,0.0,0.89,0.6,0.0,1.63,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.0,0.0,6.430000000000001
2025-04-02,0.0,0.0,0.89,0.6,0.0,1.63,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.0,0.0,6.430000000000001
2025-04-01,0.0,0.0,0.89,0.6,0.0,1.51,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.5,0.0,0.0,6.31
2025-03-31,0.0,0.0,0.89,0.6,0.0,1.51,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.289999999999999
2025-03-30,0.0,0.0,0.89,0.6,0.0,1.41,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.1899999999999995
2025-03-29,0.0,0.0,0.89,0.6,0.0,1.41,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.1899999999999995
2025-03-28,0.0,0.0,0.89,0.6,0.0,1.41,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.1899999999999995
2025-03-27,0.0,0.0,0.89,0.6,0.0,1.41,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.1899999999999995
2025-03-26,0.0,0.0,0.89,0.6,0.0,1.35,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.129999999999999
2025-03-25,0.0,0.0,0.89,0.59,0.0,1.35,0.0,0.0,0.69,0.0,0.0,0.0,1.5,0.0,0.62,0.48,0.0,0.0,6.119999999999999
2025-03-24,0.0,0.0,0.89,0.59,0.0,1.28,0.0,0.0,0.69,0.0,0.0,0.0,1.49,0.0,0.62,0.48,0.0,0.0,6.039999999999999
2025-03-23,0.0,0.0,0.89,0.59,0.0,1.28,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,6.09
2025-03-22,0.0,0.0,0.89,0.59,0.0,1.28,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,6.09
2025-03-21,0.0,0.0,0.89,0.59,0.0,1.28,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.62,0.5,0.0,0.0,6.09
