,DE000WAF3001,DE000A0Z23Q5,DE0005102008,DE000A0HHJR3,DE000A35JS40,DE000A1H8BV3,DE0005419105,DE000A0DJ6J9,DE000A0D6554,DE000NCA0001,DE000A1MMCC8,DE0005493365,DE0005800601,DE0005158703,FR001400T0D6,DE0005677108,DE0005089031,DE000A0WMPJ6,DE000KSAG888,DE0005470405,Total
2025-04-07,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.52,0.0,7.890000000000001
2025-04-06,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.52,0.0,7.890000000000001
2025-04-05,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.52,0.0,7.890000000000001
2025-04-04,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.52,0.0,7.890000000000001
2025-04-03,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.52,0.0,8.37
2025-04-02,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.52,0.0,8.37
2025-04-01,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.0,0.0,7.85
2025-03-31,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.0,0.0,0.6,0.82,0.71,0.0,0.0,7.85
2025-03-30,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-29,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-28,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-27,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-26,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-25,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-24,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-23,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
2025-03-22,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.48,2.82,0.0,0.54,0.0,0.6,0.82,0.71,0.0,0.0,8.39
