,549300X1IL2SQS14P736,Q0HK1ORK3JOMOF7R6K47,5493003FS3JD468P6Z37,549300SHI4D0QGWI8X45,6BS8JLEICI3VGJ264L55,Total,Market_capitalization
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-07,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-06,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-04,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-03,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-27,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-26,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-20,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-19,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-16,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-13,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-12,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-08,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-07,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-06,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-04,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-03,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-30,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-29,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-23,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-22,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-16,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-15,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,6860000000.0
2025-03-12,0.0,0.0,0.0,0.0,0.47,0.47,6860000000.0
2025-03-11,0.0,0.0,0.0,0.0,0.47,0.47,6860000000.0
2025-03-10,0.0,0.0,0.0,0.0,0.47,0.47,6860000000.0
2025-03-09,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-08,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-07,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-06,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-05,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-04,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-03,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-02,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-03-01,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-28,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-27,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
