,549300X1IL2SQS14P736,Q0HK1ORK3JOMOF7R6K47,5493003FS3JD468P6Z37,549300SHI4D0QGWI8X45,6BS8JLEICI3VGJ264L55,Total,Market_capitalization
2025-02-26,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-25,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-24,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-23,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-22,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-21,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-20,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-19,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-18,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-17,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-16,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-15,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-14,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-13,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-12,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-11,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-10,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-09,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-08,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-07,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-06,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-05,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-04,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-03,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-02,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-02-01,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-31,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-30,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-29,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-28,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-27,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-26,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-25,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-24,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-23,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-22,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-21,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-20,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-19,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-18,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-17,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-16,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-15,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-14,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-13,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-12,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-11,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-10,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-09,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-08,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-07,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-06,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-05,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-04,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-03,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-02,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2025-01-01,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-31,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-30,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-29,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-28,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-27,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-26,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-25,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-24,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-23,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-22,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-21,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-20,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-19,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-18,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-17,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-16,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-15,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-14,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-13,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-12,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-11,0.0,0.0,0.0,0.0,0.61,0.61,6860000000.0
2024-12-10,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-09,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-08,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-07,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-06,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-05,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-04,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-03,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-02,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-12-01,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-30,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-29,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-28,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-27,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-26,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-25,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-24,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-23,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-22,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-21,0.0,0.0,0.0,0.0,0.59,0.59,6860000000.0
2024-11-20,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-19,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-18,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-17,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-16,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-15,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-14,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-13,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-12,0.0,0.0,0.0,0.0,0.6,0.6,6860000000.0
2024-11-11,0.0,0.0,0.0,0.0,0.53,0.53,6860000000.0
2024-11-10,0.0,0.0,0.0,0.0,0.53,0.53,6860000000.0
2024-11-09,0.0,0.0,0.0,0.0,0.53,0.53,6860000000.0
2024-11-08,0.0,0.0,0.0,0.0,0.53,0.53,6860000000.0
2024-11-07,0.0,0.0,0.0,0.0,0.49,0.49,6860000000.0
2024-11-06,0.0,0.0,0.0,0.0,0.49,0.49,6860000000.0
2024-11-05,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-11-04,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-11-03,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-11-02,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-11-01,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-31,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-30,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-29,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-28,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-27,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-26,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-25,0.0,0.0,0.0,0.0,0.52,0.52,6860000000.0
2024-10-24,0.48,0.0,0.0,0.0,0.0,0.48,6860000000.0
2024-10-23,0.48,0.0,0.0,0.0,0.0,0.48,6860000000.0
2024-10-22,0.48,0.0,0.0,0.0,0.0,0.48,6860000000.0
2024-10-21,0.54,0.43,0.0,0.0,0.0,0.97,6860000000.0
2024-10-20,0.54,0.43,0.0,0.0,0.0,0.97,6860000000.0
2024-10-19,0.54,0.43,0.0,0.0,0.0,0.97,6860000000.0
2024-10-18,0.54,0.43,0.0,0.0,0.0,0.97,6860000000.0
2024-10-17,0.54,0.43,0.0,0.0,0.0,0.97,6860000000.0
2024-10-16,0.54,0.53,0.0,0.0,0.0,1.07,6860000000.0
2024-10-15,0.54,0.64,0.0,0.0,0.0,1.1800000000000002,6860000000.0
2024-10-14,0.54,0.75,0.0,0.0,0.0,1.29,6860000000.0
2024-10-13,1.27,0.75,0.0,0.0,0.0,2.02,6860000000.0
2024-10-12,1.27,0.75,0.0,0.0,0.0,2.02,6860000000.0
2024-10-11,1.27,0.75,0.0,0.0,0.0,2.02,6860000000.0
2024-10-10,1.3,0.8,0.0,0.0,0.49,2.59,6860000000.0
2024-10-09,1.3,0.8,0.0,0.0,0.49,2.59,6860000000.0
2024-10-08,1.3,0.8,0.0,0.0,0.49,2.59,6860000000.0
2024-10-07,1.3,0.74,0.0,0.0,0.59,2.63,6860000000.0
2024-10-06,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-10-05,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-10-04,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-10-03,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-10-02,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-10-01,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-30,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-29,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-28,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-27,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-26,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-25,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-24,1.22,0.74,0.0,0.0,0.59,2.55,6860000000.0
2024-09-23,1.22,0.74,0.0,0.0,0.68,2.64,6860000000.0
2024-09-22,1.18,0.74,0.0,0.0,0.68,2.6,6860000000.0
2024-09-21,1.18,0.74,0.0,0.0,0.68,2.6,6860000000.0
2024-09-20,1.18,0.74,0.0,0.0,0.68,2.6,6860000000.0
2024-09-19,1.28,0.74,0.0,0.0,0.68,2.7,6860000000.0
2024-09-18,1.28,0.88,0.0,0.0,0.68,2.8400000000000003,6860000000.0
2024-09-17,1.28,0.88,0.0,0.0,0.79,2.95,6860000000.0
2024-09-16,1.28,0.96,0.0,0.0,0.79,3.0300000000000002,6860000000.0
2024-09-15,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-14,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-13,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-12,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-11,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-10,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-09,1.28,1.09,0.0,0.0,0.79,3.16,6860000000.0
2024-09-08,1.28,1.12,0.0,0.0,0.79,3.1900000000000004,6860000000.0
2024-09-07,1.28,1.12,0.0,0.0,0.79,3.1900000000000004,6860000000.0
2024-09-06,1.28,1.12,0.0,0.0,0.79,3.1900000000000004,6860000000.0
2024-09-05,1.32,1.21,0.0,0.0,0.79,3.3200000000000003,6860000000.0
2024-09-04,1.32,1.3,0.0,0.0,0.79,3.41,6860000000.0
2024-09-03,1.49,1.22,0.0,0.0,0.79,3.5,6860000000.0
2024-09-02,1.49,1.22,0.0,0.0,0.79,3.5,6860000000.0
2024-09-01,1.49,1.22,0.0,0.0,0.79,3.5,6860000000.0
2024-08-31,1.49,1.22,0.0,0.0,0.79,3.5,6860000000.0
2024-08-30,1.49,1.22,0.0,0.0,0.79,3.5,6860000000.0
2024-08-29,1.49,1.19,0.0,0.0,0.79,3.4699999999999998,6860000000.0
2024-08-28,1.49,1.19,0.0,0.0,0.79,3.4699999999999998,6860000000.0
2024-08-27,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-26,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-25,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-24,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-23,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-22,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-21,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-20,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-19,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-18,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-17,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-16,1.49,1.19,0.0,0.0,0.89,3.57,6860000000.0
2024-08-15,1.49,1.19,0.0,0.0,0.9,3.5799999999999996,6860000000.0
2024-08-14,1.5,1.19,0.0,0.0,0.9,3.59,6860000000.0
2024-08-13,1.5,1.19,0.0,0.0,0.9,3.59,6860000000.0
2024-08-12,1.49,1.19,0.0,0.0,0.9,3.5799999999999996,6860000000.0
2024-08-11,1.49,1.19,0.0,0.0,0.9,3.5799999999999996,6860000000.0
2024-08-10,1.49,1.19,0.0,0.0,0.9,3.5799999999999996,6860000000.0
2024-08-09,1.49,1.19,0.0,0.0,0.9,3.5799999999999996,6860000000.0
2024-08-08,1.49,1.19,0.0,0.0,0.9,3.5799999999999996,6860000000.0
2024-08-07,1.52,1.19,0.0,0.0,0.89,3.6,6860000000.0
2024-08-06,1.52,1.19,0.0,0.0,0.9,3.61,6860000000.0
2024-08-05,1.52,1.19,0.0,0.0,0.89,3.6,6860000000.0
2024-08-04,1.63,1.19,0.0,0.0,0.99,3.8099999999999996,6860000000.0
2024-08-03,1.63,1.19,0.0,0.0,0.99,3.8099999999999996,6860000000.0
2024-08-02,1.63,1.19,0.0,0.0,0.99,3.8099999999999996,6860000000.0
2024-08-01,1.63,1.24,0.0,0.0,0.99,3.8600000000000003,6860000000.0
2024-07-31,1.63,1.24,0.0,0.0,0.99,3.8600000000000003,6860000000.0
2024-07-30,1.71,1.34,0.0,0.0,0.99,4.04,6860000000.0
2024-07-29,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-28,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-27,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-26,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-25,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-24,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-23,1.89,1.41,0.0,0.0,0.99,4.29,6860000000.0
2024-07-22,1.91,1.39,0.0,0.0,0.99,4.29,6860000000.0
2024-07-21,1.91,1.48,0.0,0.0,0.99,4.38,6860000000.0
2024-07-20,1.91,1.48,0.0,0.0,0.99,4.38,6860000000.0
2024-07-19,1.91,1.48,0.0,0.0,0.99,4.38,6860000000.0
2024-07-18,1.91,1.48,0.0,0.0,0.99,4.38,6860000000.0
2024-07-17,1.89,1.48,0.0,0.0,0.99,4.36,6860000000.0
2024-07-16,1.89,1.48,0.0,0.0,0.99,4.36,6860000000.0
2024-07-15,1.94,1.48,0.0,0.0,0.99,4.41,6860000000.0
2024-07-14,1.94,1.48,0.0,0.0,0.99,4.41,6860000000.0
2024-07-13,1.94,1.48,0.0,0.0,0.99,4.41,6860000000.0
2024-07-12,1.94,1.48,0.0,0.0,0.99,4.41,6860000000.0
2024-07-11,1.94,1.51,0.0,0.0,0.99,4.44,6860000000.0
2024-07-10,2.0,1.51,0.0,0.0,0.99,4.5,6860000000.0
2024-07-09,1.93,1.51,0.0,0.0,0.99,4.43,6860000000.0
2024-07-08,1.93,1.49,0.0,0.0,0.99,4.41,6860000000.0
2024-07-07,1.93,1.52,0.0,0.0,0.99,4.44,6860000000.0
2024-07-06,1.93,1.52,0.0,0.0,0.99,4.44,6860000000.0
2024-07-05,1.93,1.52,0.0,0.0,0.99,4.44,6860000000.0
2024-07-04,1.93,1.52,0.0,0.0,0.99,4.44,6860000000.0
2024-07-03,1.93,1.52,0.0,0.0,0.99,4.44,6860000000.0
2024-07-02,1.8,1.4,0.0,0.0,0.99,4.19,6860000000.0
2024-07-01,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-30,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-29,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-28,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-27,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-26,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-25,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-24,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-23,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-22,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-21,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-20,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-19,1.7,1.4,0.0,0.0,0.99,4.09,6860000000.0
2024-06-18,1.67,1.4,0.0,0.0,0.99,4.06,6860000000.0
2024-06-17,1.67,1.4,0.0,0.0,0.99,4.06,6860000000.0
2024-06-16,1.67,1.31,0.0,0.0,1.0,3.98,6860000000.0
2024-06-15,1.67,1.31,0.0,0.0,1.0,3.98,6860000000.0
2024-06-14,1.67,1.31,0.0,0.0,1.0,3.98,6860000000.0
2024-06-13,1.74,1.31,0.0,0.0,0.99,4.04,6860000000.0
2024-06-12,1.74,1.24,0.0,0.0,0.99,3.9699999999999998,6860000000.0
2024-06-11,1.81,1.24,0.0,0.0,0.99,4.04,6860000000.0
2024-06-10,1.74,1.1,0.0,0.0,0.99,3.83,6860000000.0
2024-06-09,1.74,1.1,0.0,0.0,0.99,3.83,6860000000.0
2024-06-08,1.74,1.1,0.0,0.0,0.99,3.83,6860000000.0
2024-06-07,1.74,1.1,0.0,0.0,0.99,3.83,6860000000.0
2024-06-06,1.61,1.1,0.0,0.0,0.99,3.7,6860000000.0
2024-06-05,1.61,1.02,0.0,0.0,0.99,3.62,6860000000.0
2024-06-04,1.54,1.02,0.0,0.0,0.99,3.55,6860000000.0
2024-06-03,1.42,0.95,0.0,0.0,0.99,3.3600000000000003,6860000000.0
2024-06-02,1.34,0.95,0.0,0.0,0.99,3.2800000000000002,6860000000.0
2024-06-01,1.34,0.95,0.0,0.0,0.99,3.2800000000000002,6860000000.0
2024-05-31,1.34,0.95,0.0,0.0,0.99,3.2800000000000002,6860000000.0
2024-05-30,1.34,0.78,0.0,0.0,1.08,3.2,6860000000.0
2024-05-29,1.34,0.78,0.0,0.0,1.08,3.2,6860000000.0
2024-05-28,1.34,0.87,0.0,0.0,1.08,3.29,6860000000.0
2024-05-27,1.34,0.87,0.0,0.0,1.08,3.29,6860000000.0
2024-05-26,1.34,0.87,0.0,0.0,1.08,3.29,6860000000.0
2024-05-25,1.34,0.87,0.0,0.0,1.08,3.29,6860000000.0
2024-05-24,1.34,0.87,0.0,0.0,1.08,3.29,6860000000.0
2024-05-23,1.34,0.87,0.0,0.0,1.1,3.31,6860000000.0
2024-05-22,1.34,0.99,0.0,0.0,1.1,3.43,6860000000.0
2024-05-21,1.34,0.99,0.0,0.0,1.09,3.42,6860000000.0
2024-05-20,1.42,0.99,0.0,0.0,1.09,3.5,6860000000.0
2024-05-19,1.42,0.99,0.0,0.0,1.09,3.5,6860000000.0
2024-05-18,1.42,0.99,0.0,0.0,1.09,3.5,6860000000.0
2024-05-17,1.42,0.99,0.0,0.0,1.09,3.5,6860000000.0
2024-05-16,1.42,1.0,0.0,0.0,1.09,3.51,6860000000.0
2024-05-15,1.42,0.98,0.0,0.0,1.09,3.49,6860000000.0
