,-unknown-,<05,<1,<2,<5,>=5,CA,GB,JE,Market_capitalization,NL,US,Total
2023-07-14,0.0,0,0,3,0,0,0.18,1.28,0.0,6538630000.0,0.0,0.14,1.6
2023-07-13,0.0,0,0,3,0,0,0.18,1.41,0.0,6538630000.0,0.0,0.14,1.73
2023-07-12,0.0,0,0,3,0,0,0.18,1.41,0.0,6538630000.0,0.0,0.14,1.73
2023-07-11,0.0,0,0,3,0,0,0.18,1.41,0.0,6538630000.0,0.0,0.14,1.73
2023-07-10,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-09,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-08,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-07,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-06,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-05,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-04,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-03,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-02,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-07-01,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-30,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-29,0.0,0,0,3,0,0,0.18,1.42,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-28,0.0,0,0,3,0,0,0.18,1.41,0.0,6538630000.0,0.0,0.14,1.73
2023-06-27,0.0,0,0,3,0,0,0.18,1.4,0.0,6538630000.0,0.0,0.14,1.7199999999999998
2023-06-26,0.0,0,1,2,0,0,0.18,1.39,0.0,6538630000.0,0.0,0.14,1.71
2023-06-25,0.0,0,1,2,0,0,0.18,1.39,0.0,6538630000.0,0.0,0.14,1.71
2023-06-24,0.0,0,1,2,0,0,0.18,1.39,0.0,6538630000.0,0.0,0.14,1.71
2023-06-23,0.0,0,1,2,0,0,0.18,1.39,0.0,6538630000.0,0.0,0.14,1.71
2023-06-22,0.0,0,1,2,0,0,0.18,1.39,0.0,6538630000.0,0.0,0.14,1.71
2023-06-21,0.0,0,1,2,0,0,0.18,1.39,0.0,6538630000.0,0.0,0.14,1.71
2023-06-20,0.0,0,1,2,0,0,0.21,1.39,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-19,0.0,0,1,2,0,0,0.21,1.39,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-18,0.0,0,1,2,0,0,0.21,1.39,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-17,0.0,0,1,2,0,0,0.21,1.39,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-16,0.0,0,1,2,0,0,0.21,1.39,0.0,6538630000.0,0.0,0.14,1.7399999999999998
2023-06-15,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-14,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-13,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-12,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-11,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-10,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-09,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-08,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-07,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-06,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-05,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-04,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-03,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-02,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-06-01,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-05-31,0.0,0,1,2,0,0,0.21,1.25,0.0,6538630000.0,0.0,0.14,1.6
2023-05-30,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-29,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-28,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-27,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-26,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-25,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-24,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-23,0.0,0,1,2,0,0,0.23,1.25,0.0,6538630000.0,0.0,0.14,1.62
2023-05-22,0.0,1,1,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.14,0.6900000000000001
2023-05-21,0.0,1,1,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.14,0.6900000000000001
2023-05-20,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-19,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-18,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-17,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-16,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-15,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-14,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-13,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-12,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-11,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-10,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-09,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-08,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-07,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-06,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-05,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-04,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-03,0.0,0,2,1,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.46,1.01
2023-05-02,0.0,0,3,0,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.32,0.8700000000000001
2023-05-01,0.0,0,3,0,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.32,0.8700000000000001
2023-04-30,0.0,0,3,0,0,0,0.23,0.32,0.0,6538630000.0,0.0,0.32,0.8700000000000001
