,<05,<1,<2,<5,>=5,GB,IT,JE,Market_capitalization,NL,US,Total
2025-03-05,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-04,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-03,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-02,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-03-01,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-02-28,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-02-27,1,0,1,1,0,0.15,0.81,0.13,9630000000.0,0.0,0.14,1.23
2025-02-26,1,0,1,1,0,0.13,0.81,0.13,9630000000.0,0.0,0.14,1.21
2025-02-25,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.14,1.2000000000000002
2025-02-24,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.14,1.2000000000000002
2025-02-23,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.14,1.2000000000000002
2025-02-22,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.14,1.2000000000000002
2025-02-21,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.14,1.2000000000000002
2025-02-20,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.14,1.2000000000000002
2025-02-19,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-18,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-17,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-16,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-15,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-14,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-13,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-12,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-11,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-10,1,0,1,1,0,0.12,0.81,0.13,9630000000.0,0.0,0.07,1.1300000000000001
2025-02-09,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-08,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-07,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-06,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-05,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-04,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-03,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-02,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-02-01,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-01-31,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
2025-01-30,1,0,1,1,0,0.11,0.81,0.13,9630000000.0,0.0,0.07,1.12
